"","x","y","xend","yend","col","lwd","lty","Cluster"
"8237",2057.5,0.0487947372841923,2057,0.0487947372841923,"#66A61E",0.7,"solid","LinearUp-5"
"8238",2057,0.0487947372841923,2057,0,"#66A61E",0.7,"solid","LinearUp-5"
"8239",2057.5,0.0487947372841923,2058,0.0487947372841923,"#66A61E",0.7,"solid","LinearUp-5"
"8240",2058,0.0487947372841923,2058,0,"#66A61E",0.7,"solid","LinearUp-5"
"8241",2058.34375,0.276616490552185,2062.5,0.276616490552185,"#66A61E",0.7,"solid","LinearUp-5"
"8242",2062.5,0.276616490552185,2062.5,0.170588267895134,"#66A61E",0.7,"solid","LinearUp-5"
"8243",2062.5,0.170588267895134,2059.5,0.170588267895134,"#66A61E",0.7,"solid","LinearUp-5"
"8244",2059.5,0.170588267895134,2059.5,0.0669239630440548,"#66A61E",0.7,"solid","LinearUp-5"
"8245",2059.5,0.0669239630440548,2059,0.0669239630440548,"#66A61E",0.7,"solid","LinearUp-5"
"8246",2059,0.0669239630440548,2059,0,"#66A61E",0.7,"solid","LinearUp-5"
"8247",2059.5,0.0669239630440548,2060,0.0669239630440548,"#66A61E",0.7,"solid","LinearUp-5"
"8248",2060,0.0669239630440548,2060,0,"#66A61E",0.7,"solid","LinearUp-5"
"8249",2062.5,0.170588267895134,2065.5,0.170588267895134,"#66A61E",0.7,"solid","LinearUp-5"
"8250",2065.5,0.170588267895134,2065.5,0.122114359950124,"#66A61E",0.7,"solid","LinearUp-5"
"8251",2065.5,0.122114359950124,2063.25,0.122114359950124,"#66A61E",0.7,"solid","LinearUp-5"
"8252",2063.25,0.122114359950124,2063.25,0.0750081876379581,"#66A61E",0.7,"solid","LinearUp-5"
"8253",2063.25,0.0750081876379581,2061.75,0.0750081876379581,"#66A61E",0.7,"solid","LinearUp-5"
"8254",2061.75,0.0750081876379581,2061.75,0.0394137498099757,"#66A61E",0.7,"solid","LinearUp-5"
"8255",2061.75,0.0394137498099757,2061,0.0394137498099757,"#66A61E",0.7,"solid","LinearUp-5"
"8256",2061,0.0394137498099757,2061,0,"#66A61E",0.7,"solid","LinearUp-5"
"8257",2061.75,0.0394137498099757,2062.5,0.0394137498099757,"#66A61E",0.7,"solid","LinearUp-5"
"8258",2062.5,0.0394137498099757,2062.5,0.0206139114980045,"#66A61E",0.7,"solid","LinearUp-5"
"8259",2062.5,0.0206139114980045,2062,0.0206139114980045,"#66A61E",0.7,"solid","LinearUp-5"
"8260",2062,0.0206139114980045,2062,0,"#66A61E",0.7,"solid","LinearUp-5"
"8261",2062.5,0.0206139114980045,2063,0.0206139114980045,"#66A61E",0.7,"solid","LinearUp-5"
"8262",2063,0.0206139114980045,2063,0,"#66A61E",0.7,"solid","LinearUp-5"
"8263",2063.25,0.0750081876379581,2064.75,0.0750081876379581,"#66A61E",0.7,"solid","LinearUp-5"
"8264",2064.75,0.0750081876379581,2064.75,0.0568569971996563,"#66A61E",0.7,"solid","LinearUp-5"
"8265",2064.75,0.0568569971996563,2064,0.0568569971996563,"#66A61E",0.7,"solid","LinearUp-5"
"8266",2064,0.0568569971996563,2064,0,"#66A61E",0.7,"solid","LinearUp-5"
"8267",2064.75,0.0568569971996563,2065.5,0.0568569971996563,"#66A61E",0.7,"solid","LinearUp-5"
"8268",2065.5,0.0568569971996563,2065.5,0.0289355362629374,"#66A61E",0.7,"solid","LinearUp-5"
"8269",2065.5,0.0289355362629374,2065,0.0289355362629374,"#66A61E",0.7,"solid","LinearUp-5"
"8270",2065,0.0289355362629374,2065,0,"#66A61E",0.7,"solid","LinearUp-5"
"8271",2065.5,0.0289355362629374,2066,0.0289355362629374,"#66A61E",0.7,"solid","LinearUp-5"
"8272",2066,0.0289355362629374,2066,0,"#66A61E",0.7,"solid","LinearUp-5"
"8273",2065.5,0.122114359950124,2067.75,0.122114359950124,"#66A61E",0.7,"solid","LinearUp-5"
"8274",2067.75,0.122114359950124,2067.75,0.0988670111773754,"#66A61E",0.7,"solid","LinearUp-5"
"8275",2067.75,0.0988670111773754,2067,0.0988670111773754,"#66A61E",0.7,"solid","LinearUp-5"
"8276",2067,0.0988670111773754,2067,0,"#66A61E",0.7,"solid","LinearUp-5"
"8277",2067.75,0.0988670111773754,2068.5,0.0988670111773754,"#66A61E",0.7,"solid","LinearUp-5"
"8278",2068.5,0.0988670111773754,2068.5,0.029175250343458,"#66A61E",0.7,"solid","LinearUp-5"
"8279",2068.5,0.029175250343458,2068,0.029175250343458,"#66A61E",0.7,"solid","LinearUp-5"
"8280",2068,0.029175250343458,2068,0,"#66A61E",0.7,"solid","LinearUp-5"
"8281",2068.5,0.029175250343458,2069,0.029175250343458,"#66A61E",0.7,"solid","LinearUp-5"
"8282",2069,0.029175250343458,2069,0,"#66A61E",0.7,"solid","LinearUp-5"
"8283",2066.328125,0.371436227584389,2074.3125,0.371436227584389,"#66A61E",0.7,"solid","LinearUp-5"
"8284",2074.3125,0.371436227584389,2074.3125,0.3224742693794,"#66A61E",0.7,"solid","LinearUp-5"
"8285",2074.3125,0.3224742693794,2071.3125,0.3224742693794,"#66A61E",0.7,"solid","LinearUp-5"
"8286",2071.3125,0.3224742693794,2071.3125,0.188571653463421,"#66A61E",0.7,"solid","LinearUp-5"
"8287",2071.3125,0.188571653463421,2070,0.188571653463421,"#66A61E",0.7,"solid","LinearUp-5"
"8288",2070,0.188571653463421,2070,0,"#66A61E",0.7,"solid","LinearUp-5"
"8289",2071.3125,0.188571653463421,2072.625,0.188571653463421,"#66A61E",0.7,"solid","LinearUp-5"
"8290",2072.625,0.188571653463421,2072.625,0.0774836990715941,"#66A61E",0.7,"solid","LinearUp-5"
"8291",2072.625,0.0774836990715941,2071.5,0.0774836990715941,"#66A61E",0.7,"solid","LinearUp-5"
"8292",2071.5,0.0774836990715941,2071.5,0.0208550722066402,"#66A61E",0.7,"solid","LinearUp-5"
"8293",2071.5,0.0208550722066402,2071,0.0208550722066402,"#66A61E",0.7,"solid","LinearUp-5"
"8294",2071,0.0208550722066402,2071,0,"#66A61E",0.7,"solid","LinearUp-5"
"8295",2071.5,0.0208550722066402,2072,0.0208550722066402,"#66A61E",0.7,"solid","LinearUp-5"
"8296",2072,0.0208550722066402,2072,0,"#66A61E",0.7,"solid","LinearUp-5"
"8297",2072.625,0.0774836990715941,2073.75,0.0774836990715941,"#66A61E",0.7,"solid","LinearUp-5"
"8298",2073.75,0.0774836990715941,2073.75,0.0554677292319771,"#66A61E",0.7,"solid","LinearUp-5"
"8299",2073.75,0.0554677292319771,2073,0.0554677292319771,"#66A61E",0.7,"solid","LinearUp-5"
"8300",2073,0.0554677292319771,2073,0,"#66A61E",0.7,"solid","LinearUp-5"
"8301",2073.75,0.0554677292319771,2074.5,0.0554677292319771,"#66A61E",0.7,"solid","LinearUp-5"
"8302",2074.5,0.0554677292319771,2074.5,0.0466232749442639,"#66A61E",0.7,"solid","LinearUp-5"
"8303",2074.5,0.0466232749442639,2074,0.0466232749442639,"#66A61E",0.7,"solid","LinearUp-5"
"8304",2074,0.0466232749442639,2074,0,"#66A61E",0.7,"solid","LinearUp-5"
"8305",2074.5,0.0466232749442639,2075,0.0466232749442639,"#66A61E",0.7,"solid","LinearUp-5"
"8306",2075,0.0466232749442639,2075,0,"#66A61E",0.7,"solid","LinearUp-5"
"8307",2074.3125,0.3224742693794,2077.3125,0.3224742693794,"#66A61E",0.7,"solid","LinearUp-5"
"8308",2077.3125,0.3224742693794,2077.3125,0.190422148965776,"#66A61E",0.7,"solid","LinearUp-5"
"8309",2077.3125,0.190422148965776,2076,0.190422148965776,"#66A61E",0.7,"solid","LinearUp-5"
"8310",2076,0.190422148965776,2076,0,"#66A61E",0.7,"solid","LinearUp-5"
"8311",2077.3125,0.190422148965776,2078.625,0.190422148965776,"#66A61E",0.7,"solid","LinearUp-5"
"8312",2078.625,0.190422148965776,2078.625,0.152545632660226,"#66A61E",0.7,"solid","LinearUp-5"
"8313",2078.625,0.152545632660226,2077.5,0.152545632660226,"#66A61E",0.7,"solid","LinearUp-5"
"8314",2077.5,0.152545632660226,2077.5,0.0733799624652787,"#66A61E",0.7,"solid","LinearUp-5"
"8315",2077.5,0.0733799624652787,2077,0.0733799624652787,"#66A61E",0.7,"solid","LinearUp-5"
"8316",2077,0.0733799624652787,2077,0,"#66A61E",0.7,"solid","LinearUp-5"
"8317",2077.5,0.0733799624652787,2078,0.0733799624652787,"#66A61E",0.7,"solid","LinearUp-5"
"8318",2078,0.0733799624652787,2078,0,"#66A61E",0.7,"solid","LinearUp-5"
"8319",2078.625,0.152545632660226,2079.75,0.152545632660226,"#66A61E",0.7,"solid","LinearUp-5"
"8320",2079.75,0.152545632660226,2079.75,0.102731005421664,"#66A61E",0.7,"solid","LinearUp-5"
"8321",2079.75,0.102731005421664,2079,0.102731005421664,"#66A61E",0.7,"solid","LinearUp-5"
"8322",2079,0.102731005421664,2079,0,"#66A61E",0.7,"solid","LinearUp-5"
"8323",2079.75,0.102731005421664,2080.5,0.102731005421664,"#66A61E",0.7,"solid","LinearUp-5"
"8324",2080.5,0.102731005421664,2080.5,0.0499125755606693,"#66A61E",0.7,"solid","LinearUp-5"
"8325",2080.5,0.0499125755606693,2080,0.0499125755606693,"#66A61E",0.7,"solid","LinearUp-5"
"8326",2080,0.0499125755606693,2080,0,"#66A61E",0.7,"solid","LinearUp-5"
"8327",2080.5,0.0499125755606693,2081,0.0499125755606693,"#66A61E",0.7,"solid","LinearUp-5"
"8328",2081,0.0499125755606693,2081,0,"#66A61E",0.7,"solid","LinearUp-5"
"8329",2110.04443359375,0.485839593368294,2153.7607421875,0.485839593368294,"#66A61E",0.7,"solid","LinearUp-5"
"8330",2153.7607421875,0.485839593368294,2153.7607421875,0.378804470445583,"#66A61E",0.7,"solid","LinearUp-5"
"8331",2153.7607421875,0.378804470445583,2111.900390625,0.378804470445583,"#66A61E",0.7,"solid","LinearUp-5"
"8332",2111.900390625,0.378804470445583,2111.900390625,0.295400797077592,"#66A61E",0.7,"solid","LinearUp-5"
"8333",2111.900390625,0.295400797077592,2090.2421875,0.295400797077592,"#66A61E",0.7,"solid","LinearUp-5"
"8334",2090.2421875,0.295400797077592,2090.2421875,0.2302287941597,"#66A61E",0.7,"solid","LinearUp-5"
"8335",2090.2421875,0.2302287941597,2085.5,0.2302287941597,"#66A61E",0.7,"solid","LinearUp-5"
"8336",2085.5,0.2302287941597,2085.5,0.189962702595514,"#66A61E",0.7,"solid","LinearUp-5"
"8337",2085.5,0.189962702595514,2082.875,0.189962702595514,"#66A61E",0.7,"solid","LinearUp-5"
"8338",2082.875,0.189962702595514,2082.875,0.122971272058095,"#66A61E",0.7,"solid","LinearUp-5"
"8339",2082.875,0.122971272058095,2082,0.122971272058095,"#66A61E",0.7,"solid","LinearUp-5"
"8340",2082,0.122971272058095,2082,0,"#66A61E",0.7,"solid","LinearUp-5"
"8341",2082.875,0.122971272058095,2083.75,0.122971272058095,"#66A61E",0.7,"solid","LinearUp-5"
"8342",2083.75,0.122971272058095,2083.75,0.0671072051392139,"#66A61E",0.7,"solid","LinearUp-5"
"8343",2083.75,0.0671072051392139,2083,0.0671072051392139,"#66A61E",0.7,"solid","LinearUp-5"
"8344",2083,0.0671072051392139,2083,0,"#66A61E",0.7,"solid","LinearUp-5"
"8345",2083.75,0.0671072051392139,2084.5,0.0671072051392139,"#66A61E",0.7,"solid","LinearUp-5"
"8346",2084.5,0.0671072051392139,2084.5,0.038614644718369,"#66A61E",0.7,"solid","LinearUp-5"
"8347",2084.5,0.038614644718369,2084,0.038614644718369,"#66A61E",0.7,"solid","LinearUp-5"
"8348",2084,0.038614644718369,2084,0,"#66A61E",0.7,"solid","LinearUp-5"
"8349",2084.5,0.038614644718369,2085,0.038614644718369,"#66A61E",0.7,"solid","LinearUp-5"
"8350",2085,0.038614644718369,2085,0,"#66A61E",0.7,"solid","LinearUp-5"
"8351",2085.5,0.189962702595514,2088.125,0.189962702595514,"#66A61E",0.7,"solid","LinearUp-5"
"8352",2088.125,0.189962702595514,2088.125,0.136409580803438,"#66A61E",0.7,"solid","LinearUp-5"
"8353",2088.125,0.136409580803438,2086.75,0.136409580803438,"#66A61E",0.7,"solid","LinearUp-5"
"8354",2086.75,0.136409580803438,2086.75,0.0828964634782559,"#66A61E",0.7,"solid","LinearUp-5"
"8355",2086.75,0.0828964634782559,2086,0.0828964634782559,"#66A61E",0.7,"solid","LinearUp-5"
"8356",2086,0.0828964634782559,2086,0,"#66A61E",0.7,"solid","LinearUp-5"
"8357",2086.75,0.0828964634782559,2087.5,0.0828964634782559,"#66A61E",0.7,"solid","LinearUp-5"
"8358",2087.5,0.0828964634782559,2087.5,0.0476208144134632,"#66A61E",0.7,"solid","LinearUp-5"
"8359",2087.5,0.0476208144134632,2087,0.0476208144134632,"#66A61E",0.7,"solid","LinearUp-5"
"8360",2087,0.0476208144134632,2087,0,"#66A61E",0.7,"solid","LinearUp-5"
"8361",2087.5,0.0476208144134632,2088,0.0476208144134632,"#66A61E",0.7,"solid","LinearUp-5"
"8362",2088,0.0476208144134632,2088,0,"#66A61E",0.7,"solid","LinearUp-5"
"8363",2088.125,0.136409580803438,2089.5,0.136409580803438,"#66A61E",0.7,"solid","LinearUp-5"
"8364",2089.5,0.136409580803438,2089.5,0.0923468871676291,"#66A61E",0.7,"solid","LinearUp-5"
"8365",2089.5,0.0923468871676291,2089,0.0923468871676291,"#66A61E",0.7,"solid","LinearUp-5"
"8366",2089,0.0923468871676291,2089,0,"#66A61E",0.7,"solid","LinearUp-5"
"8367",2089.5,0.0923468871676291,2090,0.0923468871676291,"#66A61E",0.7,"solid","LinearUp-5"
"8368",2090,0.0923468871676291,2090,0,"#66A61E",0.7,"solid","LinearUp-5"
"8369",2090.2421875,0.2302287941597,2094.984375,0.2302287941597,"#66A61E",0.7,"solid","LinearUp-5"
"8370",2094.984375,0.2302287941597,2094.984375,0.19310063475415,"#66A61E",0.7,"solid","LinearUp-5"
"8371",2094.984375,0.19310063475415,2091.75,0.19310063475415,"#66A61E",0.7,"solid","LinearUp-5"
"8372",2091.75,0.19310063475415,2091.75,0.0987515495065816,"#66A61E",0.7,"solid","LinearUp-5"
"8373",2091.75,0.0987515495065816,2091,0.0987515495065816,"#66A61E",0.7,"solid","LinearUp-5"
"8374",2091,0.0987515495065816,2091,0,"#66A61E",0.7,"solid","LinearUp-5"
"8375",2091.75,0.0987515495065816,2092.5,0.0987515495065816,"#66A61E",0.7,"solid","LinearUp-5"
"8376",2092.5,0.0987515495065816,2092.5,0.0650052966970982,"#66A61E",0.7,"solid","LinearUp-5"
"8377",2092.5,0.0650052966970982,2092,0.0650052966970982,"#66A61E",0.7,"solid","LinearUp-5"
"8378",2092,0.0650052966970982,2092,0,"#66A61E",0.7,"solid","LinearUp-5"
"8379",2092.5,0.0650052966970982,2093,0.0650052966970982,"#66A61E",0.7,"solid","LinearUp-5"
"8380",2093,0.0650052966970982,2093,0,"#66A61E",0.7,"solid","LinearUp-5"
"8381",2094.984375,0.19310063475415,2098.21875,0.19310063475415,"#66A61E",0.7,"solid","LinearUp-5"
"8382",2098.21875,0.19310063475415,2098.21875,0.111084216072862,"#66A61E",0.7,"solid","LinearUp-5"
"8383",2098.21875,0.111084216072862,2095.5625,0.111084216072862,"#66A61E",0.7,"solid","LinearUp-5"
"8384",2095.5625,0.111084216072862,2095.5625,0.0636896795009445,"#66A61E",0.7,"solid","LinearUp-5"
"8385",2095.5625,0.0636896795009445,2094,0.0636896795009445,"#66A61E",0.7,"solid","LinearUp-5"
"8386",2094,0.0636896795009445,2094,0,"#66A61E",0.7,"solid","LinearUp-5"
"8387",2095.5625,0.0636896795009445,2097.125,0.0636896795009445,"#66A61E",0.7,"solid","LinearUp-5"
"8388",2097.125,0.0636896795009445,2097.125,0.0358513756830959,"#66A61E",0.7,"solid","LinearUp-5"
"8389",2097.125,0.0358513756830959,2095.75,0.0358513756830959,"#66A61E",0.7,"solid","LinearUp-5"
"8390",2095.75,0.0358513756830959,2095.75,0.0221801662909097,"#66A61E",0.7,"solid","LinearUp-5"
"8391",2095.75,0.0221801662909097,2095,0.0221801662909097,"#66A61E",0.7,"solid","LinearUp-5"
"8392",2095,0.0221801662909097,2095,0,"#66A61E",0.7,"solid","LinearUp-5"
"8393",2095.75,0.0221801662909097,2096.5,0.0221801662909097,"#66A61E",0.7,"solid","LinearUp-5"
